"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"115",0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,6,5,3,3,0,2,3,8,1,2,1,1,6,7,5,6,6,2,3,5,11,10,10,7,6,8,10,7,8,17,10
"116",0,0,0,0,0,1,2,0,0,0,1,2,1,0,0,3,0,2,0,3,3,5,0,1,1,2,1,4,9,6,9,4,2,3,11,1,11,10,9,11,5,11,21,6,10,5,13,7,10
"117",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,3,3,1,1,0,6,6,4,7,7,8,1,1,3,1,6,7,6,6,10,4,8,4,10,6,6,4,17,16,7
"118",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,5,6,9,11,8,6,6,2,8,7,9,6,8,13,15,13,15,8,12,8,15,2,10
"119",0,0,3,0,3,0,0,0,4,1,5,0,2,0,4,1,2,0,0,3,2,1,3,5,0,3,0,5,4,3,2,5,11,2,8,9,4,7,13,9,17,0,6,1,8,6,3,2,10
"120",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,3,3,0,5,3,1,4,4,3,4,3,4,7,3,4,12,13,12,11,6,7,5,4,16,14,8,21,13,11,12,7
"121",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,4,4,0,1,6,5,2,2,4,13,6,5,8,4,8,4,5,3,8,5,12,6,6,15,15,12,15,5
"122",0,0,0,0,0,0,3,0,2,1,5,1,4,4,0,5,2,0,2,0,2,4,2,2,1,3,3,2,3,3,1,2,10,6,4,4,6,5,10,7,3,13,5,11,14,7,12,10,15
"123",0,0,0,0,0,0,0,0,1,0,1,3,1,3,1,2,3,2,6,3,2,6,1,2,1,3,2,9,3,1,2,8,2,1,10,4,6,3,8,7,10,7,5,6,5,20,3,8,6
"124",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,2,3,5,2,0,2,9,2,1,6,2,10,1,5,14,7,8,9,11,5,11,6,7,12,14,20,11,11,17,8,6
"125",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"126",0,0,0,0,0,1,2,0,0,0,1,2,1,0,0,3,0,2,0,3,3,5,0,1,1,2,1,4,9,6,9,4,2,3,11,1,11,10,9,11,5,11,21,6,10,5,13,7,10
"127",0,0,0,0,0,2,0,0,2,2,0,2,3,5,1,0,2,5,1,0,2,5,3,2,3,2,1,1,2,5,1,4,5,6,8,5,10,1,4,10,15,1,7,10,14,4,6,7,19
"128",0,0,0,0,0,4,0,1,0,0,0,0,1,6,0,2,1,2,2,0,7,2,5,1,0,1,6,1,5,2,1,2,6,2,4,14,9,8,4,12,1,5,15,9,4,11,9,12,11
"129",0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,6,1,0,3,2,0,2,3,2,4,5,5,1,4,7,8,8,5,9,4,10,10,13,8,7,10,10,7,3,16,15,9,8,15
